sector,title_cleaned,frequency_cleaned,title_generalized,frequency_generalized,title_simplified,frequency_simplified
Non-Profit,Major Gifts Executive Director,13,Executive Director,107275,Executive Director,110583
Non-Profit,Fundraiser Project Manager,1,Project Manager,104684,Project Manager,110824
Non-Profit,Chief Executive Development Officer,1,Chief Executive Officer,86241,Chief Executive Officer,86401
Non-Profit,Vice President Fundraiser,1,Vice President,44689,Vice President,45508
Non-Profit,Major Gifts Vice President,45,Vice President,44689,Vice President,45508
Non-Profit,Fundraiser Team Leader,7,Team Leader,29981,Team Leader,30286
Non-Profit,Team Leader Fundraiser,1,Team Leader,29981,Team Leader,30286
Non-Profit,Major Gifts Managing Director,3,Managing Director,27517,Managing Director,27690
Non-Profit,Major Gifts Assistant Manager,4,Assistant Manager,26925,Assistant Manager,33267
Non-Profit,Major Gifts Deputy Director,8,Deputy Director,17117,Deputy Director,17695
Non-Profit,Senior Major Gifts Consultant,1,Senior Consultant,15697,Senior Consultant,16247
Non-Profit,Major Gifts Senior Consultant,1,Senior Consultant,15697,Senior Consultant,16247
Non-Profit,Volunteer Fundraiser Coordinator,3,Volunteer Coordinator,15345,Volunteer Coordinator,15529
Non-Profit,Chief Financial Development Officer,3,Chief Financial Officer,13521,Chief Financial Officer,13539
Non-Profit,Chief Financial Resources Development Officer,2,Chief Financial Officer,13521,Chief Financial Officer,13539
Non-Profit,Senior Major Gifts Manager,16,Senior Manager,13006,Senior Manager,16273
Non-Profit,Major Gifts Senior Manager,4,Senior Manager,13006,Senior Manager,16273
Non-Profit,Senior Philanthropy Manager,19,Senior Manager,13006,Senior Manager,16273
Non-Profit,Early Years Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Credit Union Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Development Officer Foundations,3,Development Officer,11648,Development Officer,12895
Non-Profit,Wellbeing Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Recovery Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Small Organizations Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Person Centred Planning Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Restricted Funding Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Lifesaving Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Fisheries Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,Major Giving Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Voluntary Sector Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Development Officer France,6,Development Officer,11648,Development Officer,12895
Non-Profit,Advanced Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Kinship Care Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Schools Development Officer,6,Development Officer,11648,Development Officer,12895
Non-Profit,Play Development Officer,15,Development Officer,11648,Development Officer,12895
Non-Profit,Performance Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Union Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,Minerals Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Proposal Development Officer,21,Development Officer,11648,Development Officer,12895
Non-Profit,Instrument Technician Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,University Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Architecture Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,HACC Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Development Officer Alumni Relations,1,Development Officer,11648,Development Officer,12895
Non-Profit,Platform Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Girls Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Aeronautical Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Entrepreneurship Development Officer,4,Development Officer,11648,Development Officer,12895
Non-Profit,Equality Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Medical Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Development Officer Hotel Receptionist Department,1,Development Officer,11648,Development Officer,12895
Non-Profit,Value Chain Development Officer,4,Development Officer,11648,Development Officer,12895
Non-Profit,Development Officer Grants,5,Development Officer,11648,Development Officer,12895
Non-Profit,Institutional Support Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Lottery Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Major Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,SharePoint Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Chapter Development Officer,7,Development Officer,11648,Development Officer,12895
Non-Profit,Coaching Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Employer Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Welfare Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Computer Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Child Care Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Cycling Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Land Development Officer,4,Development Officer,11648,Development Officer,12895
Non-Profit,Coach Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Worship Ministry Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Content Development Officer,4,Development Officer,11648,Development Officer,12895
Non-Profit,Development Officer Corporate Gifts,2,Development Officer,11648,Development Officer,12895
Non-Profit,China Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Museum Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Operation Development Officer,6,Development Officer,11648,Development Officer,12895
Non-Profit,Agribusiness Development Officer,6,Development Officer,11648,Development Officer,12895
Non-Profit,Annual Fund Development Officer,4,Development Officer,11648,Development Officer,12895
Non-Profit,Small Groups Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Seminar Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Spatial Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,Recreation Development Officer,4,Development Officer,11648,Development Officer,12895
Non-Profit,Foundation Development Officer,25,Development Officer,11648,Development Officer,12895
Non-Profit,Tenant Participation Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Supporter Development Officer,18,Development Officer,11648,Development Officer,12895
Non-Profit,People Development Officer,6,Development Officer,11648,Development Officer,12895
Non-Profit,Development Officer Disability,1,Development Officer,11648,Development Officer,12895
Non-Profit,Global Development Officer,6,Development Officer,11648,Development Officer,12895
Non-Profit,Touristic Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Real Estate Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Trading Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Faith Communities Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Franchise Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Human Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,Development Officer Sub Saharan Africa,1,Development Officer,11648,Development Officer,12895
Non-Profit,Development Officer Trusts,3,Development Officer,11648,Development Officer,12895
Non-Profit,Credit Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Portfolio Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,Development Officer MS,1,Development Officer,11648,Development Officer,12895
Non-Profit,Advocacy Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,Communication Development Officer,24,Development Officer,11648,Development Officer,12895
Non-Profit,Third Sector Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,Charity Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Microenterprise Development Officer,16,Development Officer,11648,Development Officer,12895
Non-Profit,Bid Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Strategy Development Officer,7,Development Officer,11648,Development Officer,12895
