sector,title_cleaned,frequency_cleaned,title_generalized,frequency_generalized,title_simplified,frequency_simplified,,
Education,Prospect Identification Assistant Director,1,Assistant Director,44775,Assistant Director,54727,,
Education,Prospect Management Assistant Director,11,Assistant Director,44775,Assistant Director,54727,,
Education,Prospect Research Associate,14,Research Associate,32126,Research Associate,32368,,
Education,Prospect Management Associate Director,14,Associate Director,23264,Associate Director,25166,,
Education,Prospect Development Manager,4,Development Manager,12011,Development Manager,15218,,
Education,Prospect Development Director,12,Development Director,11161,Development Director,12406,,
Education,Prospect Research Intern,7,Research Intern,10952,Research Intern,11065,,
Education,Prospect Research Student Worker,1,Student Worker,8681,Student Worker,8681,,
Education,Prospect Management Assistant,2,Management Assistant,6190,Management Assistant,6662,,
Education,Prospect Development Officer,2,Development Officer,6138,Development Officer,6437,,
Education,Senior Prospect Analyst,6,Senior Analyst,5370,Senior Analyst,6081,,
Education,Prospect Research Officer,18,Research Officer,5367,Research Officer,5407,,
Education,Prospect Development Consultant,2,Development Consultant,5246,Development Consultant,5746,,
Education,Prospect Development Specialist,2,Development Specialist,4954,Development Specialist,5398,,
Education,Prospect Development Coordinator,1,Development Coordinator,4719,Development Coordinator,5060,,
Education,Prospect Research Technician,1,Research Technician,4360,Research Technician,4360,,
Education,Senior Prospect Researcher,10,Senior Researcher,4169,Senior Researcher,4169,,
Education,Prospect Development Intern,2,Development Intern,3053,Development Intern,3122,,
Education,Prospect Development Assistant,2,Development Assistant,2697,Development Assistant,3047,,
Education,Prospect Research Specialist,10,Research Specialist,2600,Research Specialist,2600,,
Education,Prospect Research Consultant,2,Research Consultant,2440,Research Consultant,2467,,
Education,Senior Prospect Research Associate,2,Senior Research Associate,2372,Senior Research Associate,2372,,
Education,Prospect Research Administrator,1,Research Administrator,1384,Research Administrator,1384,,
Education,Assistant Prospect Researcher,5,Assistant Researcher,1291,Assistant Researcher,1291,,
Education,Prospect Development Assistant Director,6,Development Assistant Director,1234,Development Assistant Director,1234,,
Education,Prospect Management Analyst,10,Management Analyst,1215,Management Analyst,1373,,
Education,Prospect Information Manager,1,Information Manager,1097,Information Manager,1151,,
Education,Prospect Development Associate Director,5,Development Associate Director,1081,Development Associate Director,1081,,
Education,Prospect Development Analyst,8,Development Analyst,1050,Development Analyst,1050,,
Education,Prospect Information Analyst,2,Information Analyst,1004,Information Analyst,1004,,
Education,Prospect Management Specialist,4,Management Specialist,989,Management Specialist,1534,,
Education,Senior Prospect Research Analyst,15,Senior Research Analyst,935,Senior Research Analyst,935,,
Education,Prospect Management Director,31,Management Director,934,Management Director,1582,,
Education,Prospect Management Coordinator,15,Management Coordinator,877,Management Coordinator,1207,,
Education,Prospect Management Officer,3,Management Officer,769,Management Officer,863,,
Education,Prospect Management Associate,2,Management Associate,611,Management Associate,611,,
Education,Prospect Strategy Director,1,Strategy Director,583,Director,286067,,
Education,Prospect Development Senior Director,4,Development Senior Director,574,Development Senior Director,574,,
Education,Prospect Research Executive,1,Research Executive,520,Research Executive,520,,
Education,Prospect Information Coordinator,2,Information Coordinator,512,Information Coordinator,512,,
Education,Prospect Research Associate Director,19,Research Associate Director,350,Research Associate Director,350,,
Education,Prospect Research Supervisor,1,Research Supervisor,345,Research Supervisor,345,,
Education,Freelance Prospect Researcher,1,Freelance Researcher,343,Freelance Researcher,343,,
Education,Prospect Research Assistant Director,23,Research Assistant Director,261,Research Assistant Director,400,,
Education,Prospect Researcher,184,Prospect Researcher,184,Researcher,46759,,
Education,Prospect Strategy Analyst,1,Strategy Analyst,176,Strategy Analyst,176,,
Education,Intern Prospecting Manager,1,Intern Manager,156,Intern Manager,156,,
Education,Senior Prospect Management Analyst,2,Senior Management Analyst,136,Senior Management Analyst,136,,
Education,Prospect Research Analyst,87,Prospect Research Analyst,87,Research Analyst,6834,,
Education,Prospect Research Director,69,Prospect Research Director,75,Research Director,6072,,
Education,Director Prospect Research,5,Prospect Research Director,75,Research Director,6072,,
Education,Prospect Research Interim Director,1,Prospect Research Director,75,Research Director,6072,,
Education,Prospect Research Contractor,2,Research Contractor,51,Research Contractor,51,,
Education,Manager Prospect Research,1,Prospect Research Manager,50,Research Manager,3488,,
Education,Prospect Research Manager,49,Prospect Research Manager,50,Research Manager,3488,,
Education,Prospect Research Coordinator,37,Prospect Research Coordinator,37,Research Coordinator,4989,,
Education,Prospect Research Assistant,30,Prospect Research Assistant,31,Research Assistant,103693,,
Education,Prospecting Manager,23,Prospecting Manager,23,Manager,281854,,
Non-Profit,Research Assistant Donor Prospect Development,1,Research Assistant,55478,Research Assistant,58676,,
Non-Profit,Prospect Development Director,38,Development Director,39040,Development Director,41133,,
Non-Profit,Assistant Prospecting Manager,2,Assistant Manager,26925,Assistant Manager,33267,,
Non-Profit,Prospect Research Assistant Manager,2,Assistant Manager,26925,Assistant Manager,33267,,
Non-Profit,Prospect Management Assistant Director,11,Assistant Director,21193,Assistant Director,24720,,
Non-Profit,Prospect Identification Assistant Director,1,Assistant Director,21193,Assistant Director,24720,,
Non-Profit,Prospective Donor Research Intern,1,Research Intern,15372,Research Intern,15415,,
Non-Profit,Prospects Research Intern,1,Research Intern,15372,Research Intern,15415,,
Non-Profit,Prospect Research Intern,21,Research Intern,15372,Research Intern,15415,,
Non-Profit,Prospect Management Associate Director,6,Associate Director,15203,Associate Director,16947,,
Non-Profit,Prospect Development Manager,9,Development Manager,14739,Development Manager,18428,,
Non-Profit,Development Prospect Manager,2,Development Manager,14739,Development Manager,18428,,
Non-Profit,Prospect Research Student Associate,1,Research Associate,13013,Research Associate,13059,,
Non-Profit,Prospect Research Associate,25,Research Associate,13013,Research Associate,13059,,
Non-Profit,Prospect Research Senior Manager,2,Senior Manager,13006,Senior Manager,16273,,
Non-Profit,Senior Prospect Manager,1,Senior Manager,13006,Senior Manager,16273,,
Non-Profit,Prospect Development Officer,9,Development Officer,11648,Development Officer,12895,,
Non-Profit,Prospect Development Student Assistant,1,Student Assistant,11524,Student Assistant,12123,,
Non-Profit,Prospect Development Coordinator,2,Development Coordinator,9648,Development Coordinator,10332,,
Non-Profit,Prospect Development Associate,2,Development Associate,9171,Development Associate,9171,,
Non-Profit,Prospect Development Intern,2,Development Intern,7651,Development Intern,7875,,
Non-Profit,Prospecting Team Member,1,Team Member,7063,Team Member,7564,,
Non-Profit,Prospect Development Data Assistant,1,Development Assistant,6537,Development Assistant,6822,,
Non-Profit,Prospect Development Assistant,4,Development Assistant,6537,Development Assistant,6822,,
Non-Profit,Senior Prospect Management Associate,1,Senior Associate,6361,Senior Associate,6383,,
Non-Profit,Senior Prospect Analyst,3,Senior Analyst,6223,Senior Analyst,6714,,
Non-Profit,Prospect Management Assistant,2,Management Assistant,5676,Management Assistant,6254,,
Non-Profit,Prospect Research Officer,33,Research Officer,4839,Research Officer,4856,,
Non-Profit,Prospect Development Consultant,2,Development Consultant,4681,Development Consultant,5146,,
Non-Profit,Prospect Research Student Worker,1,Student Worker,4543,Student Worker,4565,,
Non-Profit,Prospect Management Consultant,1,Management Consultant,4389,Management Consultant,5038,,
Non-Profit,Prospect Development Specialist,3,Development Specialist,3442,Development Specialist,4251,,
Non-Profit,Prospect Development Data Specialist,1,Development Specialist,3442,Development Specialist,4251,,
Non-Profit,Prospecting Development Specialist,1,Development Specialist,3442,Development Specialist,4251,,
Non-Profit,Prospect Research The Director Assistant,2,Director Assistant,3263,Director Assistant,3456,,
Non-Profit,Prospect Research Consultant,15,Research Consultant,3027,Research Consultant,3045,,
Non-Profit,Prospect Research Development Associate Director,1,Development Associate Director,2924,Development Associate Director,2955,,
Non-Profit,Prospect Development Associate Director,5,Development Associate Director,2924,Development Associate Director,2955,,
Non-Profit,Senior Prospect Researcher,22,Senior Researcher,2572,Senior Researcher,2572,,
Non-Profit,Prospect Management Senior Researcher,1,Senior Researcher,2572,Senior Researcher,2572,,
Non-Profit,Prospect Development Assistant Director,2,Development Assistant Director,2190,Development Assistant Director,2190,,
Non-Profit,Prospect Development Senior Director,2,Development Senior Director,1654,Development Senior Director,1654,,
Non-Profit,Prospect Development Analyst,12,Development Analyst,1429,Development Analyst,1429,,
Non-Profit,Prospect Management Analyst,19,Management Analyst,1411,Management Analyst,1579,,
Non-Profit,Analyst Prospect Management,1,Management Analyst,1411,Management Analyst,1579,,
Non-Profit,Prospect Research Specialist,21,Research Specialist,1148,Research Specialist,1148,,
Non-Profit,Prospect Information Manager,10,Information Manager,1105,Information Manager,1148,,
Non-Profit,Prospect Management Officer,3,Management Officer,1100,Management Officer,1703,,
Non-Profit,Senior Prospect Research Associate,2,Senior Research Associate,1046,Senior Research Associate,1046,,
Non-Profit,Prospect Management Specialist,4,Management Specialist,954,Management Specialist,1394,,
Non-Profit,Prospect Strategy Director,3,Strategy Director,937,Director,216626,,
Non-Profit,Senior Prospect Research Analyst,16,Senior Research Analyst,904,Senior Research Analyst,904,,
Non-Profit,Prospect Research Technician,2,Research Technician,893,Research Technician,893,,
Non-Profit,Prospect Management Director,44,Management Director,892,Management Director,1816,,
Non-Profit,Senior Prospect Development Manager,1,Senior Development Manager,811,Senior Development Manager,811,,
Non-Profit,Prospect Information Analyst,4,Information Analyst,773,Information Analyst,773,,
Non-Profit,Prospect Development Executive,4,Development Executive,702,Development Executive,702,,
Non-Profit,Assistant Prospect Researcher,2,Assistant Researcher,680,Assistant Researcher,680,,
Non-Profit,Prospect Management Associate,8,Management Associate,669,Management Associate,702,,
Non-Profit,Prospect Management Coordinator,18,Management Coordinator,593,Management Coordinator,1207,,
Non-Profit,Prospect Information Coordinator,2,Information Coordinator,481,Information Coordinator,481,,
Non-Profit,Prospect Research Executive,5,Research Executive,443,Research Executive,443,,
Non-Profit,Senior Prospect Research Officer,3,Senior Research Officer,434,Senior Research Officer,434,,
Non-Profit,Freelance Prospect Researcher,3,Freelance Researcher,433,Freelance Researcher,433,,
Non-Profit,Major Gifts Prospect Researcher,2,Prospect Researcher,406,Prospect Researcher,406,,
Non-Profit,Prospect Researcher Corporate,1,Prospect Researcher,406,Prospect Researcher,406,,
Non-Profit,Foundation Prospect Researcher,7,Prospect Researcher,406,Prospect Researcher,406,,
Non-Profit,Prospect Researcher,374,Prospect Researcher,406,Prospect Researcher,406,,
Non-Profit,Summer Prospect Researcher,1,Prospect Researcher,406,Prospect Researcher,406,,
Non-Profit,Donor Prospect Researcher,2,Prospect Researcher,406,Prospect Researcher,406,,
Non-Profit,Prospect Development Researcher,3,Prospect Researcher,406,Prospect Researcher,406,,
Non-Profit,Campaign Prospect Researcher,4,Prospect Researcher,406,Prospect Researcher,406,,
Non-Profit,Development Prospect Researcher,2,Prospect Researcher,406,Prospect Researcher,406,,
Non-Profit,Volunteer Prospect Researcher,1,Prospect Researcher,406,Prospect Researcher,406,,
Non-Profit,Prospect Research Volunteer,5,Research Volunteer,334,Research Volunteer,334,,
Non-Profit,Prospect Strategy Analyst,4,Strategy Analyst,279,Strategy Analyst,279,,
Non-Profit,Senior Prospect Data Analyst,1,Senior Data Analyst,246,Senior Data Analyst,246,,
Non-Profit,Prospect Research Administrator,1,Research Administrator,239,Research Administrator,239,,
Non-Profit,Prospect Research Supervisor,1,Research Supervisor,168,Research Supervisor,168,,
Non-Profit,Senior Prospect Development Coordinator,1,Senior Development Coordinator,166,Senior Development Coordinator,166,,
Non-Profit,Prospect Research Professional,1,Research Professional,162,Research Professional,162,,
Non-Profit,Prospect Research Vice President,1,Research Vice President,156,Research Vice President,156,,
Non-Profit,Senior Prospect Management Analyst,3,Senior Management Analyst,154,Senior Management Analyst,154,,
Non-Profit,Senior Prospect Development Analyst,1,Senior Development Analyst,150,Senior Development Analyst,150,,
