sector,title_cleaned,frequency_cleaned,title_generalized,frequency_generalized,title_simplified,frequency_simplified
Non-Profit,Fundraiser,10296,Fundraiser,10296,Fundraiser,10296
Non-Profit,Development Officer,9505,Development Officer,11648,Development Officer,12895
Non-Profit,Major Gifts Officer,2364,Major Gifts Officer,2458,Major Gifts Officer,2458
Non-Profit,Chief Development Officer,2126,Development Chief Officer,2184,Development Chief Officer,2184
Non-Profit,Senior Development Officer,1667,Senior Development Officer,1944,Senior Development Officer,1944
Non-Profit,Community Development Officer,1586,Community Development Officer,1794,Community Development Officer,1794
Non-Profit,Business Development Officer,1583,Business Development Officer,1681,Business Development Officer,1703
Non-Profit,Major Gifts Director,1402,Major Gifts Director,1486,Director,216626
Non-Profit,Community Fundraiser,829,Community Fundraiser,866,Community Fundraiser,866
Non-Profit,Project Development Officer,636,Project Development Officer,763,Project Development Officer,763
Non-Profit,Program Development Officer,538,Program Development Officer,676,Program Development Officer,676
Non-Profit,Economic Development Officer,528,Economic Development Officer,562,Economic Development Officer,611
Non-Profit,Major Gifts Manager,411,Major Gifts Manager,455,Manager,278939
Non-Profit,Corporate Fundraiser,325,Corporate Fundraiser,355,Corporate Fundraiser,355
Non-Profit,Commercial Development Officer,297,Commercial Development Officer,313,Commercial Development Officer,313
Non-Profit,Senior Major Gifts Officer,289,Senior Major Gifts Officer,291,Senior Major Gifts Officer,291
Non-Profit,Regional Development Officer,270,Regional Development Officer,330,Regional Development Officer,330
Non-Profit,Philanthropy Manager,261,Philanthropy Manager,276,Manager,278939
Non-Profit,Senior Fundraiser,248,Senior Fundraiser,430,Senior Fundraiser,430
Non-Profit,Youth Development Officer,245,Youth Development Officer,281,Youth Development Officer,281
Non-Profit,Resources Development Officer,237,Resources Development Officer,245,Resources Development Officer,245
Non-Profit,Professional Fundraiser,206,Professional Fundraiser,221,Professional Fundraiser,221
Non-Profit,Telephone Fundraiser,202,Telephone Fundraiser,221,Telephone Fundraiser,221
Non-Profit,International Development Officer,185,International Development Officer,209,International Development Officer,209
Non-Profit,Regional Fundraiser,183,Regional Fundraiser,232,Regional Fundraiser,232
Non-Profit,Face Fundraiser Face,183,Face Fundraiser Face,183,Face Fundraiser Face,183
Non-Profit,Volunteer Fundraiser,174,Volunteer Fundraiser,175,Volunteer Fundraiser,175
Non-Profit,Trust Fundraiser,155,Trust Fundraiser,161,Trust Fundraiser,161
Non-Profit,Charity Fundraiser,148,Charity Fundraiser,156,Charity Fundraiser,156
Non-Profit,Major Gifts Associate,146,Major Gifts Associate,175,Major Gifts Associate,175
Non-Profit,Philanthropy Officer,144,Philanthropy Officer,163,Officer,47467
Non-Profit,Social Development Officer,142,Social Development Officer,197,Social Development Officer,197
Non-Profit,Major Gifts Associate Director,142,Major Gifts Associate Director,179,Associate Director,16947
Non-Profit,Major Gifts Coordinator,140,Major Gifts Coordinator,160,Major Gifts Coordinator,160
Non-Profit,Human Resources Development Officer,134,Human Resources Development Officer,140,Human Resources Development Officer,140
Non-Profit,Fund Development Officer,115,Fund Development Officer,129,Fund Development Officer,129
Non-Profit,Local Development Officer,107,Local Development Officer,146,Development Officer,12895
Non-Profit,Senior Business Development Officer,107,Senior Business Development Officer,118,Senior Business Development Officer,118
Non-Profit,Chief Business Development Officer,107,Chief Business Development Officer,107,Chief Business Development Officer,107
Non-Profit,Partnership Development Officer,106,Partnership Development Officer,123,Development Officer,12895
Non-Profit,Major Gifts Intern,99,Major Gifts Intern,112,Major Gifts Intern,112
Non-Profit,Organizational Development Officer,97,Organizational Development Officer,104,Development Officer,12895
Non-Profit,Corporate Development Officer,95,Corporate Development Officer,104,Corporate Development Officer,104
Non-Profit,Enterprise Development Officer,89,Enterprise Development Officer,106,Development Officer,12895
Non-Profit,Freelance Fundraiser,89,Freelance Fundraiser,89,Freelance Fundraiser,89
Non-Profit,Major Donor Fundraiser,88,Major Donor Fundraiser,98,Major Donor Fundraiser,98
Non-Profit,Associate Development Officer,87,Associate Development Officer,110,Associate Development Officer,110
Non-Profit,Chief Philanthropy Officer,84,Chief Philanthropy Officer,86,Chief Officer,2866
Non-Profit,Service Development Officer,82,Service Development Officer,108,Service Development Officer,108
Non-Profit,Capacity Development Officer,81,Capacity Development Officer,91,Development Officer,12895
Non-Profit,Volunteer Development Officer,79,Volunteer Development Officer,95,Volunteer Development Officer,95
Non-Profit,Assistant Development Officer,72,Assistant Development Officer,142,Assistant Development Officer,142
Non-Profit,Mission Development Officer,71,Mission Development Officer,87,Mission Development Officer,87
Non-Profit,Sustainable Development Officer,70,Sustainable Development Officer,87,Development Officer,12895
