ID,Tool Name,Tool Type,Tool Sub-types,Cost,Notes,Integrations, LinkToPage,SoftwareLastReviewed,Sponsorships
PR-001,DonorSearch,Research,,Paid,,,,,NEDRA
PR-002,AlumniFinder,Research,,Paid,,,,,
PR-003,iWave / Kindsight,Research,,Paid,,,,,NEDRA
PR-004,Allucian,CRM,,Paid,,,,,
PR-005,Salesforce,CRM,,Paid,,,,,
PR-006,Jira,Project Management,,Limited free tier,,,,,
PR-007,Asana,Project Management ,,Limited free tier,,,,,
PR-008,Trello,Project Management,,Limited free tier,,,,,
PR-009,Zendesk,Project Management,,Limited free tier,,,,,
PR-010,Raiser's Edge NXT,CRM,,Paid,,,,,
PR-011,Research Point,Research,,Paid,,,,,
PR-012,Kaleidoscope,Research,,Paid,,,,,NEDRA
PR-013,Click-up,Project Management,,Limited free tier,,,,,
PR-014,LexisNexis,Research,,Limited free tier,,,,,NEDRA
PR-015,PowerBI,Analytics,,Limited free tier,,,,,
PR-016,Tableau,Analytics,,Limited free tier,,,,,
PR-017,Almaconnect,Research,News Alerts,Paid,,,,,NEDRA
PR-018,Pitchbook,Research,,Limited free tier,,,,,
PR-019,MergentOnline,Research,,Paid,,,,,
PR-020,Excel,Analytics,,Limited free tier,,,,,
PR-021,Obsidian,Knowledge Base / Notes,,Robust free tier,,,,,
PR-022,Instagram,Social Media,,Robust free tier,,,,,
PR-022,LinkedIn,Social Media,,Robust free tier,,,,,
PR-022,SalesNavigator,Research,,Paid,,,,,
PR-022,EveryAction,CRM,,,,,,,
PR-023,Facebook,Social Media,,Robust free tier,,,,,
PR-023,Humantru,CRM,,,,,,,
PR-024,Bitwarden,Password Manager,,Robust free tier,,,,,
PR-024,Google Alerts,Research,News Alerts,Free,,,,,
PR-025,Talkwalker,Research,News Alerts,Free,,,,,
PR-26,Insightful,Research,News Alerts,Paid,,RE,,,NEDRA
PR-27,AIdentified,,,,,,,,
PR-28,ContactOut,Research,Contact Info,,Chrome extension,,,,
PR-29,White pages,,,,"Good for phone numbers, can be cross-checked with lexis or iWave, people also use usphonebook.com",,,,
PR-30,Hunter.io,,,,"or emails (or competitors, Snov.io, ZeroBounce or Bouncer), but hunter.io has a good free plan (25 searches a month, and 50 email vertifications), which is better than rocket reach",,,,
PR-31,Pyro.Solutions,Research,Capacity Screening,,"International, mentioned on PRSPCT-L",,,2025-10-27,
PR-32,Wallbrook,Consultant,Due Dilligence,Paid,,,,,NEDRA
PR-33,Altrata,,,,,,,,NEDRA
PR-34,Xapien,,,,,,,,NEDRA
PR-35,Factiva,Research,,,"Factiva is a business information and research platform that aggregates global news, company data, and market intelligence from thousands of sources. Corporate subsidiary family trees, executive lists and stock information (with links to paperwork), recent news, querying, and you can follow their source update page to see exactly which sources are being used, discontinued, etc.",,,2025-11-10,
PR-36,FactSet Research Systems,Data Broker,,,,,,2025-11-10,
PR-37,Mergent Intellect & Mergent Online,Research,Company Info,,"Extensive business info, but Mergent Intellect arguably has one of the best executive searches, letting you export files with hundreds of executives, including their company phone number",,,2025-11-10,
PR-38,PitchBook,Research,Company Info,,"PitchBook allows you to search private equity and investors, venture capital deals, and information on mergers and acquisitions. Using real time data, their emerging spaces feature discloses upcoming investor trends, and the market map feature allows you to map out existing or emerging markets",,,2025-11-10,
PR-39,PrivCo,Research,Company Info,,"PrivCo is a source for business and financial data on non-publicly traded corporations, including family owned, private equity owned, venture backed, and international unlisted companies.",,,2025-11-10,
PR-40,,,,,,,,,
PR-41,,,,,,,,,
PR-42,,,,,,,,,
PR-43,,,,,,,,,
PR-44,,,,,,,,,
PR-45,,,,,,,,,
PR-46,,,,,,,,,
PR-47,,,,,,,,,
PR-48,,,,,,,,,
PR-49,,,,,,,,,
PR-50,,,,,,,,,
PR-51,,,,,,,,,
PR-52,,,,,,,,,
,,,,,,,,,
